type, title, conference, city, country, start_year, start_month, start_date, end_year, end_month, end_date
oral, Statistical completion and validation of the NIST Atomic Spectral Database, DPG annual conference (Rostock 2019), Rostock, Germany, 2019, 03, 11, 2019, 03, 15
oral, Electron Density Estimation from Multichannel Laser Interferometer Measurement in LHD with Systematic Bias Compensation, 3rd IAEA Technical Meeting on Fusion Data Processing Validation and Analysis, Vienna, Austria, 2019, 05, 28, 2019, 05, 31
poster, Statistical Completion and Validation of Atomic Energy Level Database Based on Low Rank Nature of Isoelectronic Sequence, 2nd International Conference on Data-Driven Plasma Science, Marseille, France, 2019, 05, 13, 2019, 05, 17
oral, Automatic Fusion Plasma Data Analysis based on Bayesian Statistics, 1st International Conference on Data-Driven Plasma Science, York, UK, 2018, 06, 11, 2018, 06, 13
poster, Automatic Robust Regression Analysis of Fusion Plasma Experiment Data based on Generative Modelling, 45th Conference on Plasma Physics (EPS 2018), Prague, the Czech Republic, 2018, 06, 2, 2018, 06, 06
oral, Experimental evaluation of fractional abundance data for W23+ - W28+, The 7 th China-Japan-Korea Joint Seminar on Atomic and Molecular Processes in Plasma (AMPP2018), Hefei, China, 2018, 06, 24, 2018, 06, 26
invited, Machine Learning of Noise in LHD Thomson Scattering System, 2nd IAEA Technical Meeting on the Fusion Data Processing; Validation and Analysis, Boston, USA, 2017, 05, 30, 2017, 06, 02
invited, Bayesian Inference for the LHD Experiment Data, IAEA Technical Meeting on Uncertainty Assessment and Benchmark Experiments for Atomic and Molecular Data for Fusion Applications, Vienna, Austria, 2016, 12, 19, 2016, 12, 21
invited, Measurement of the neutral hydrogen atom density in the LHD core plasmas based on the spectral inversion, 1st IAEA Technical Meeting on Fusion Data Processing; Validation and Analysis, Nice, France, 2015, 06, 01, 2015, 06, 03
ivited, Neutral Hydrogen Dynamics in Fusion Core Plasmas Revealed by High Dynamic Range Balmer-α Spectroscopy, 9th International Conference on Atomic and Molecular Data and Their Applications, Jena, Germany, 2014, 09, 21, 2019, 09, 25
oral, Hydrogen atomic and molecular emission locations and intensities in the LHD edge plasma determined from simultaneously observed polarization spectra, 24th International Toki Conference (ITC-24), Toki, Japan, 2014, 11, 4, 2014, 11, 7
poster, Study of Neutral Hydrogen Transport in LHD Core Plasmas Based on High Dynamic-Range Balmer-Alpha Spectroscopy, 25th IAEA Fusion Energy Conference, St. Petersburg, Russian Ferderation, 2014, 10, 13, 2014, 10, 18
poster, Comparison of Balmer- and - Line Intensities and Shapes with a Monte-Carlo Neutral Transport Calculation of Large Helical Device, 20th International Conference on Spectral Line Shapes, Newfoundland, Canada, 2010, 06, 6, 2010, 06, 11
poster, Kinetic Energy Measurement of Hydrogen in LHD Peripheral Plasma with a Multi-wavelength-range Fine-resolution Spectrometer, 1st International Conference on Frontiers in Diagnostic, Frascati, Italy, 2009, 11, 24, 2009, 11, 27
poster, Development of a Multi-wavelength-range High-resolution Spectrometer for Hydrogen Emissions and its Application to the LHD Edge Plasma, 16th International Conference on Atomic Processes in Plasmas, Monteley, USA, 2009, 03, 22, 2009, 03, 26
poster, Spectroscopic Diagnostics of helium discharge produced during sucrose triboluminescence, 14th International Congress on Plasma Physics (ICPP), Fukuoka, Japan, 2008, 09, 8, 2008, 09, 12
